% t x y o2 h2s co ch4 temp pressure RH
1530691142.413687 -23.646832 14.310247 20.986704 0.430516 0.581906 0.000000 29.240000 101086.625000 45.175781
1530691149.439302 -23.646832 14.310247 20.947224 0.433492 0.558903 0.000000 29.219999 101087.562500 45.174805
1530691156.310919 -23.769225 14.615950 20.937632 0.431508 0.554729 0.000000 29.219999 101088.398438 45.125977
1530691163.372302 -24.454986 16.565348 20.952223 0.433988 0.566330 0.000000 29.230000 101087.562500 45.342773
1530691170.347390 -24.891718 18.119541 20.954088 0.410179 0.543297 0.000000 29.219999 101090.171875 45.053711
1530691177.343328 -24.980938 18.466533 20.852503 0.419107 0.582923 0.000000 29.209999 101092.781250 44.789062
1530691184.379884 -25.128379 19.014037 20.918747 0.424563 0.549352 0.000000 29.209999 101086.703125 45.643555
1530691191.427606 -25.207482 19.315356 20.951220 0.427540 0.564513 0.000000 29.209999 101087.640625 45.534180
1530691198.453120 -25.265547 19.542371 20.970961 0.429028 0.575838 0.000000 29.209999 101089.304688 45.509766
1530691205.342168 -25.352752 19.890704 20.963236 0.430020 0.563898 0.000000 29.200001 101091.914062 45.508789
1530691212.426188 -25.543303 20.745432 20.931330 0.434980 0.591448 0.000000 29.200001 101085.031250 45.521484
1530691219.413721 -25.546283 20.759448 20.925467 0.432996 0.605720 0.000000 29.200001 101093.687500 46.051758
1530691226.385023 -25.546283 20.759448 20.928751 0.428036 0.614376 0.000000 29.200001 101089.406250 46.039062
1530691233.431366 -25.707397 21.558682 20.910723 0.445893 0.583359 0.000000 29.200001 101090.250000 45.965820
1530691240.315316 -25.848501 22.367229 20.930317 0.429028 0.606321 0.000000 29.190001 101093.687500 45.617188
1530691247.457338 -25.891119 22.618836 20.920168 0.433492 0.596416 0.000000 29.200001 101084.203125 45.508789
1530691254.461107 -26.046237 23.526816 20.940474 0.440933 0.604645 0.000000 29.190001 101083.359375 45.642578
1530691261.355331 -26.136659 24.107928 20.913301 0.432500 0.563283 0.000000 29.190001 101085.109375 45.160156
1530691268.566782 -26.365562 25.723313 20.961226 0.433988 0.587414 0.000000 29.190001 101085.109375 45.591797
1530691275.400099 -26.565557 27.512944 20.958649 0.425059 0.606136 0.000000 29.180000 101085.968750 46.013672
1530691282.317911 -26.635806 29.564981 20.922592 0.426052 0.589124 0.000000 29.180000 101090.312500 45.195312
1530691289.441295 -26.621421 31.609093 20.944616 0.418115 0.590776 0.000000 29.190001 101087.710938 45.724609
1530691296.347639 -26.519233 33.343611 20.908709 0.425556 0.574813 0.000000 29.190001 101086.875000 45.723633
1530691303.474039 -26.388042 34.819510 20.892548 0.424067 0.572885 0.000000 29.180000 101088.578125 45.748047
1530691310.349791 -26.388042 34.819510 20.923304 0.435972 0.579449 0.000000 29.180000 101087.710938 45.375977
1530691317.457996 -26.388042 34.819510 20.973957 0.448869 0.578677 0.000000 29.190001 101084.265625 46.253906
1530691324.353575 -26.388042 34.819510 20.974812 0.456806 0.573241 0.000000 29.180000 101087.812500 45.566406
1530691331.398436 -26.388042 34.819510 20.936180 0.446389 0.591549 0.000000 29.180000 101089.484375 46.122070
1530691338.349828 -26.388042 34.819510 20.917294 0.442917 0.601027 0.000000 29.180000 101086.039062 45.807617
1530691345.420337 -26.388042 34.819510 20.924870 0.446389 0.589607 0.000000 29.170000 101082.601562 45.878906
1530691352.382067 -26.388042 34.819510 20.925880 0.440436 0.608239 0.000000 29.170000 101092.093750 45.710938
1530691359.354069 -26.326052 35.633942 20.937746 0.421091 0.577864 0.000000 29.170000 101087.812500 45.470703
1530691366.376036 -26.165731 37.314733 20.961784 0.437460 0.574304 0.000000 29.170000 101086.039062 45.579102
1530691373.434563 -26.025245 38.433874 20.939466 0.429028 0.583307 0.000000 29.170000 101085.210938 45.926758
1530691380.313902 -25.878798 39.476157 20.873209 0.448869 0.564688 0.000000 29.160000 101079.156250 45.987305
1530691387.374129 -25.800242 40.015708 20.924723 0.420595 0.576570 0.000000 29.150000 101080.906250 46.215820
1530691394.460375 -25.617176 40.955017 20.970371 0.409682 0.580116 0.000000 29.160000 101078.296875 46.227539
1530691401.406640 -25.401723 41.775385 20.903408 0.419107 0.570546 0.000000 29.160000 101086.109375 46.395508
1530691408.421930 -25.306834 42.143174 20.917854 0.402242 0.562963 0.000000 29.170000 101083.507812 46.072266
1530691415.392707 -25.101450 42.883795 20.821545 0.411667 0.570254 0.000000 29.160000 101084.445312 46.107422
1530691422.416981 -24.905234 43.559518 20.936743 0.400258 0.575618 0.000000 29.160000 101080.906250 46.287109
1530691429.339405 -24.450738 44.890633 20.959776 0.401250 0.548153 0.000000 29.150000 101089.593750 46.094727
1530691436.400525 -24.011917 45.987904 20.948761 0.402242 0.556860 0.000000 29.150000 101085.281250 45.999023
1530691443.436568 -23.560420 46.915333 20.928009 0.406706 0.563703 0.000000 29.160000 101080.906250 46.467773
1530691450.415303 -22.967668 47.798262 21.007143 0.423571 0.533742 0.000000 29.150000 101094.796875 45.939453
1530691457.481698 -22.341663 48.608867 20.938608 0.421091 0.569390 0.000000 29.150000 101092.187500 45.734375
1530691464.325819 -21.562271 49.496397 20.934168 0.422083 0.543498 0.000000 29.160000 101085.281250 46.022461
1530691471.433212 -20.987669 50.113523 20.932449 0.416627 0.532062 0.000000 29.150000 101088.718750 46.035156
1530691478.480638 -20.242646 50.770655 20.954771 0.421587 0.552236 0.000000 29.160000 101090.500000 46.011719
1530691485.441607 -19.570140 51.315855 20.923004 0.430516 0.532124 0.000000 29.160000 101095.640625 46.444336
1530691492.358747 -18.848154 51.882942 20.910126 0.423075 0.526437 0.000000 29.150000 101093.937500 45.891602
1530691499.309145 -17.716927 52.690611 20.951189 0.433492 0.519884 0.000000 29.150000 101088.718750 45.684570
1530691506.317342 -16.222271 53.623474 20.907551 0.441925 0.511873 0.000000 29.139999 101091.328125 45.756836
1530691513.400353 -14.657980 54.290207 20.929014 0.425556 0.526946 0.000000 29.150000 101088.718750 46.577148
1530691520.456289 -14.657980 54.290207 20.925579 0.431012 0.530737 0.000000 29.150000 101091.328125 46.467773
1530691527.424094 -13.859947 54.614506 20.915277 0.418611 0.546087 0.000000 29.150000 101090.500000 46.600586
1530691534.433632 -12.718646 55.068781 20.911695 0.432500 0.532540 0.000000 29.150000 101093.101562 46.191406
1530691541.439787 -11.774305 55.352180 20.921999 0.420099 0.520010 0.000000 29.170000 101094.796875 46.191406
1530691548.361730 -11.052549 55.497659 20.955482 0.407698 0.525050 0.000000 29.150000 101090.500000 46.648438
1530691555.453782 -10.821469 55.548225 20.920427 0.409186 0.516572 0.000000 29.150000 101092.265625 46.202148
1530691562.395116 -11.052980 55.488248 20.918711 0.407202 0.518253 0.000000 29.150000 101091.328125 45.974609
1530691569.342722 -10.774586 55.560123 20.945328 0.401746 0.516231 0.000000 29.150000 101091.328125 46.202148
1530691576.411269 -10.105440 55.731016 20.924723 0.390337 0.514092 0.000000 29.150000 101092.265625 45.625977
1530691583.430138 -8.612369 56.028616 20.904118 0.389345 0.517543 0.000000 29.150000 101091.328125 46.683594
