% t x y o2 h2s co ch4 temp pressure RH
1530692397.562324 0.065343 0.002983 20.920578 0.478135 0.502459 0.000000 29.160000 101078.296875 48.104492
1530692397.562324 0.065343 0.002983 20.866190 0.481111 0.485149 0.000000 29.160000 101080.906250 47.551758
1530692397.562324 0.065343 0.002983 20.839575 0.470694 0.484520 0.000000 29.180000 101083.437500 47.575195
1530692397.562324 0.065343 0.002983 20.895832 0.460774 0.475042 0.000000 29.170000 101074.781250 47.288086
1530692397.562324 0.065343 0.002983 20.889669 0.453333 0.482810 0.000000 29.170000 101077.390625 47.588867
1530692397.562324 0.065343 0.002983 20.912291 0.472679 0.500581 0.000000 29.180000 101079.062500 47.624023
1530692397.562324 0.065343 0.002983 20.896690 0.472679 0.468477 0.000000 29.180000 101079.156250 47.638672
1530692397.562324 0.065343 0.002983 20.889824 0.470694 0.494848 0.000000 29.170000 101075.617188 47.650391
1530692397.562324 0.065343 0.002983 20.870934 0.464246 0.495033 0.000000 29.190001 101074.671875 47.613281
1530692397.562324 0.065343 0.002983 20.905422 0.479127 0.484789 0.000000 29.180000 101073.843750 48.021484
1530692397.562324 0.065343 0.002983 20.881237 0.495496 0.473417 0.000000 29.190001 101072.070312 47.747070
1530692397.562324 0.065343 0.002983 20.893257 0.484583 0.482505 0.000000 29.180000 101076.375000 47.566406
1530692397.562324 0.065343 0.002983 20.868509 0.504921 0.498056 0.000000 29.190001 101077.281250 47.603516
1530692397.562324 0.065343 0.002983 20.899414 0.503432 0.473212 0.000000 29.190001 101085.109375 47.832031
